id,llovieron_hamburguesas_al_dia_siguiente
113437,0
6046,0
115892,0
119650,0
84888,0
18317,0
27250,0
54051,0
71544,0
51763,0
52321,0
81224,0
15252,0
48937,0
99611,0
128354,0
133022,0
60155,0
46490,0
127104,0
37954,0
88292,1
70019,0
40454,0
100354,1
16337,1
32854,0
130258,1
12379,0
74838,0
6977,1
118337,0
104375,0
26783,0
33759,0
121471,0
44897,0
2718,0
40160,0
31030,1
56955,1
40636,1
48469,0
100194,0
129328,0
125697,0
98531,0
35237,0
100336,0
29539,0
15592,1
94430,1
90548,0
124736,1
67884,0
75221,1
123959,0
5360,0
118347,1
71813,0
16195,0
133716,0
70806,0
117716,0
52370,1
8265,0
67031,0
98056,0
20336,0
93066,0
71434,0
3200,0
24271,0
111272,0
43717,0
45024,0
80455,0
44282,0
140256,0
109098,1
140733,1
135448,0
89545,0
13737,0
107293,0
80727,0
61648,0
13826,1
30413,0
30799,0
46904,0
107973,0
143162,0
12153,0
86142,0
109539,0
72447,0
89089,0
113227,0
43155,0
138905,0
39697,0
100965,0
31085,1
99795,1
54512,1
105924,0
20782,0
125227,0
133092,0
123396,1
113082,0
101621,1
71445,0
21466,0
140397,1
142521,0
33712,0
11465,0
4199,0
80326,0
125510,0
144859,0
73549,0
38994,0
75251,0
107902,0
61641,0
113661,0
121674,1
124384,0
61376,0
97272,0
8813,0
80244,0
97430,0
140060,1
10762,1
80787,0
88316,1
132699,0
82330,0
100550,0
106740,0
112268,1
36114,0
69821,0
7063,0
64129,1
66547,0
80644,0
115976,0
2381,0
36615,0
12912,0
48570,0
93218,0
91776,0
42001,0
120637,0
31603,0
112987,0
61673,0
123047,0
37279,0
46853,0
8026,0
81694,0
35441,0
90540,0
69077,0
29212,0
96514,0
106770,0
86906,0
27025,0
59665,0
37602,0
29815,0
74500,0
66587,0
141016,1
64877,0
127819,1
123256,0
51764,0
39848,1
69535,0
19724,0
70020,0
141375,0
86225,0
117306,1
69118,0
126043,0
144920,0
93941,0
40379,0
80291,0
81861,0
141188,0
62857,0
47513,0
12666,1
9533,1
17238,0
54951,0
35764,0
73021,0
143104,0
126296,0
135331,0
123757,0
11301,0
27477,0
36616,0
138982,0
114240,0
68352,0
120873,0
50441,0
57986,0
109030,0
59959,0
39726,0
46321,0
81703,1
5335,0
91267,0
10516,0
113762,0
119042,0
110225,0
86324,0
81702,1
34753,0
112602,0
105440,0
37765,0
22294,0
111198,0
46022,0
23121,0
122742,0
44166,0
63484,0
48583,0
47606,0
103211,0
11043,0
113327,0
132442,0
307,0
111262,0
57196,0
5181,0
78996,0
37052,0
118036,0
24318,0
91472,0
54141,0
59594,0
101478,1
96943,0
140945,0
126014,0
145194,0
109824,0
26771,0
107219,0
143951,0
76965,0
114661,0
132989,0
47677,0
95720,0
112252,0
52011,0
127403,1
59203,0
41160,0
124699,0
68026,0
94120,0
105722,0
99358,0
143739,1
141778,0
121112,0
102344,0
135955,0
60970,0
34842,0
37520,0
81330,0
1697,0
128683,0
51668,1
87840,0
126912,0
70904,0
128255,0
95236,0
108991,1
62670,0
93853,0
88938,1
8214,0
67914,0
132824,0
110049,1
37895,0
130483,1
48988,0
76688,0
13451,0
60066,0
144807,0
56452,0
9524,0
93777,0
9245,0
90488,0
2785,0
126416,0
5268,0
51434,0
64526,0
106019,0
7536,0
120179,0
48046,0
37130,0
36163,0
70104,0
75276,0
30452,0
38965,0
112150,0
130548,0
90633,1
22047,1
92863,0
45208,0
52752,0
22139,0
119326,0
87596,1
112066,0
71267,0
18157,1
84104,0
90376,0
55593,0
138983,0
126051,0
19592,1
108031,0
44941,0
5720,1
9107,0
25131,0
54298,0
30954,0
67325,0
70442,0
46215,0
14134,0
10290,0
45574,0
45245,0
18685,0
51725,0
109397,0
21212,0
103089,0
100785,0
27318,0
57277,0
106036,1
122458,1
89402,1
136053,0
34919,0
85740,1
45734,0
106922,0
39956,0
130418,0
10114,0
57056,1
52867,0
119406,0
107032,0
16347,0
67792,0
77260,0
31468,0
18471,0
83865,0
132352,0
86576,0
123417,0
79453,0
133640,0
39041,0
140022,1
94321,0
132926,0
71235,0
71943,0
77605,1
21788,0
32591,0
33082,0
36043,0
33894,0
24376,0
142197,0
84071,0
121020,1
113689,0
894,0
88278,0
27874,0
142382,0
80305,0
73751,0
78258,1
3478,0
126622,0
77956,1
117801,1
123004,0
17228,1
34062,0
2888,0
76753,0
112947,0
122714,0
29081,0
105313,0
26153,0
142984,1
6375,1
6839,0
95917,0
54289,1
89170,0
62584,0
108647,0
108122,0
106667,0
126968,0
101921,0
22917,0
74307,0
141367,0
2017,0
31705,0
117805,1
129820,0
30254,1
60142,0
98734,0
75133,1
96440,0
99883,0
21404,0
38666,0
102970,0
116030,0
141685,0
84690,0
131771,0
34560,1
122892,0
21848,0
124454,0
140216,0
56730,1
35065,1
17026,0
63567,0
76914,1
111087,1
141907,0
110190,1
72314,0
74899,0
127317,0
105909,0
67522,0
101416,0
5488,0
98763,0
41704,0
66489,0
97432,1
47260,0
129416,1
10332,0
106568,0
78331,0
47347,0
94628,0
49784,0
139516,0
6181,0
132535,0
56415,1
87260,0
17233,0
83298,0
45106,0
119146,0
91849,0
59433,1
124759,0
104215,0
38884,0
4373,0
42269,0
48662,0
36949,0
21141,0
136723,0
56168,0
83508,0
134256,1
53499,0
83515,0
40709,1
124628,1
66192,0
129527,0
76436,0
132626,0
27664,0
91178,0
5979,0
101149,1
115430,0
110943,0
134942,0
98606,0
58169,0
49864,0
52640,0
91951,0
10728,0
140185,0
63444,0
53468,0
58421,0
43111,0
128576,0
49290,0
102655,0
123614,0
89431,1
85974,0
67985,1
136720,0
91769,0
9021,0
55639,0
3954,0
102314,0
120506,0
28431,0
123913,0
9792,0
2696,0
140791,0
100559,0
108492,0
64981,0
14217,0
34088,0
89799,0
10054,0
34573,0
81044,0
117429,0
23644,0
76152,0
72571,0
57192,0
32456,0
116964,1
30923,0
15821,0
120216,0
78628,0
102926,0
5143,0
114521,0
60244,0
56928,0
68334,0
78305,0
40074,1
64158,0
50919,0
139082,0
48939,0
71692,0
104685,0
10968,0
11710,0
