id,llovieron_hamburguesas_al_dia_siguiente
75452,si
139890,no
115834,no
28150,no
955,no
18224,no
131403,no
1810,no
20690,si
22595,si
47041,no
21346,no
127655,no
102471,no
35671,no
40433,si
144834,no
133025,no
54747,si
20488,no
128603,no
143997,no
40729,no
46233,no
76788,no
66472,no
116562,no
121904,no
9259,no
51852,no
144169,no
112346,no
98316,si
18574,no
129135,no
43843,no
144846,no
51822,no
142742,no
129969,no
103712,no
110465,no
108310,no
106298,no
57943,no
127825,no
87108,no
71833,no
65907,si
143836,no
94762,si
58796,no
112440,no
68476,no
120690,no
72356,no
73128,no
22599,no
7174,si
68504,no
77624,no
17760,no
26093,no
75536,si
13627,no
4743,no
117409,no
142971,si
76731,no
67250,no
9263,no
46408,no
23293,si
47827,no
84644,no
142240,no
17353,no
81539,no
130130,no
30721,no
127597,no
24698,no
6263,no
8255,no
50731,no
144763,no
49677,no
116889,si
24818,no
44982,no
19273,no
13997,no
56642,no
40495,no
80881,no
115718,si
68918,si
83275,no
74687,no
121907,no
81890,si
95285,no
42306,si
121119,no
121093,si
125754,si
33712,no
3983,no
91023,no
123865,no
101707,no
143424,no
127731,no
126106,no
62937,no
129445,no
100722,no
102331,no
36639,no
117343,no
130042,no
9348,no
74898,no
10490,si
29801,no
134909,no
21828,no
9724,no
120807,no
96102,no
34652,si
32210,no
116052,no
127120,no
60017,no
80386,no
97486,no
22233,no
65170,si
21525,no
4714,no
9401,si
77030,no
138372,no
15884,si
85552,no
82628,si
134541,no
58576,no
62412,no
115404,no
103890,no
123140,no
3126,no
71443,no
79570,no
131066,si
13702,no
122010,no
72746,no
125004,no
872,no
86107,no
94548,no
42940,no
39771,no
22338,no
89261,no
38604,no
124895,no
131118,no
120138,no
23123,no
66065,no
124136,no
125500,no
35486,si
134349,no
129530,no
21681,no
111544,no
93504,no
97715,no
138702,no
9586,si
57596,no
3741,no
51429,no
18718,no
67938,no
112424,no
137799,no
46278,no
105947,no
25826,no
143845,no
14596,no
144357,no
37582,no
25224,no
44779,no
73907,no
72739,si
77187,no
43186,no
127886,no
56517,no
89746,no
86335,no
140211,no
58973,no
81124,no
36285,no
42483,no
9104,si
80110,no
32970,no
1931,si
124162,no
19495,no
8168,no
64349,si
89417,no
34058,si
64477,si
2774,si
33498,no
122270,no
84573,no
42165,no
2588,no
23594,si
123208,no
67813,si
51682,no
80003,no
123526,no
64943,no
86121,no
2524,si
71632,no
123855,no
99622,no
