barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Villa General Mitre,2014-12-16,Oestesuroeste,Sursureste,13.4,38.0,51.0,116706,,,,,8.0,1010.9,1014.4,suroeste,41.0,26.8,8.9,24.9,20.6,28.0,13.0
Nueva Pompeya,2010-10-21,Nornoreste,Estesureste,,39.0,57.0,58831,no,,0.0,1.0,1.0,1020.2,1023.8,Norte,28.0,23.3,5.0,21.5,14.7,11.0,6.0
Constitución,2013-04-09,Estesureste,Oestenoroeste,3.6,73.0,90.0,31981,si,2.4,5.2,3.0,6.0,1024.3,1026.7,Oestenoroeste,24.0,22.0,15.6,20.7,16.7,6.0,15.0
Agronomía,2016-02-05,Sureste,Sureste,,34.0,47.0,2533,no,,0.0,,,1015.8,1018.3,Sureste,30.0,29.9,14.2,27.0,20.0,11.0,15.0
Balvanera,2012-06-05,suroeste,Noroeste,,77.0,87.0,7270,no,2.0,0.2,8.0,8.0,1007.6,1006.0,suroeste,39.0,11.5,5.5,11.2,7.0,20.0,17.0
Chacarita,2009-04-16,Noreste,Noreste,1.7,78.0,65.0,21224,no,5.4,0.0,8.0,8.0,1011.1,1014.6,Noreste,54.0,23.7,20.2,22.0,21.9,33.0,31.0
Balvanera,2015-07-11,Noroeste,Norte,,37.0,92.0,8342,no,5.0,0.0,3.0,7.0,1007.4,1013.7,Oeste,63.0,18.7,10.5,17.4,11.3,24.0,19.0
Liniers,2013-06-30,Oestesuroeste,Estesureste,,44.0,89.0,47566,no,,1.0,,,1025.4,1028.4,Estesureste,19.0,15.5,0.3,15.3,6.8,6.0,13.0
Villa General Mitre,2015-12-09,Oestesuroeste,Sursuroeste,12.1,42.0,54.0,117064,no,,0.0,3.0,,1017.0,1020.0,suroeste,39.0,27.6,11.8,25.0,21.9,28.0,9.0
Villa Pueyrredón,2014-08-13,Nornoreste,Nornoreste,,47.0,52.0,128790,no,,0.0,,,1025.6,1028.5,Noreste,56.0,20.4,11.1,20.1,13.3,7.0,22.0
Villa Luro,2010-02-15,suroeste,Sursureste,11.5,47.0,49.0,121232,no,9.8,0.0,6.0,7.0,1007.7,1008.0,suroeste,39.0,31.5,18.7,28.9,26.8,15.0,7.0
Retiro,2016-04-09,Estenoreste,Noroeste,9.5,53.0,72.0,86757,no,4.6,0.0,1.0,1.0,1018.9,1021.7,Este,20.0,30.1,19.4,28.4,25.9,9.0,2.0
Monte Castro,2015-07-27,suroeste,Oestesuroeste,,98.0,98.0,54402,si,,7.0,,,,,Oestesuroeste,54.0,-3.2,-6.5,-3.9,-5.6,19.0,19.0
Caballito,2010-11-02,Oestesuroeste,suroeste,,57.0,61.0,18785,si,,36.2,,,1012.9,1012.1,Sur,41.0,19.6,12.9,18.9,16.4,7.0,15.0
Núñez,2012-05-03,Oeste,Norte,3.8,70.0,71.0,62370,si,0.8,8.4,8.0,5.0,1017.5,1019.3,Oestenoroeste,44.0,14.0,1.1,12.0,9.0,26.0,15.0
